month,sourced,aggressive,conservative
72,0.14289894474710443,0.2524858181243465,0.07211650243230626
73,0.13987575497967283,0.2487781327801041,0.07003211719857631
74,0.13692016176238797,0.24513215725158288,0.06801043447970323
75,0.13403055031389255,0.2415467016826176,0.0660494768636801
76,0.13120534751596755,0.2380206028031619,0.06414733272377177
77,0.12844302074317002,0.23455272325457352,0.06230215390058593
78,0.12574207672834037,0.23114195093381937,0.06051215347070767
79,0.12310106046278481,0.2277871983560269,0.058775603598480206
80,0.12051855412998294,0.2244874020348296,0.05709083346765577
81,0.11799317607171088,0.22124152187996834,0.055456227289776734
82,0.11552357978550948,0.21804854061163148,0.05387022238627703
83,0.11310845295246562,0.21490746319103016,0.05233130734141776
84,0.11074651649431108,0.2118173162667224,0.050838020223290536
85,0.10843652365887839,0.20877714763621563,0.04938894687023497
86,0.10617725913298712,0.20578602572239094,0.04798271924012646
87,0.10396753818186663,0.20284303906430817,0.046618013820094194
88,0.1018062058142527,0.19994729582196344,0.0452935500943289
89,0.09969213597232553,0.19709792329458634,0.04400808906773574
90,0.09762423074568567,0.1942940674520743,0.042760431843279025
91,0.09560141960859297,0.1915348924791773,0.04154941825095251
92,0.09362265867971932,0.18881958033205543,0.04037392552639355
93,0.09168693000369363,0.1861473303068461,0.03923286703723882
94,0.08979324085374098,0.18351735861988752,0.0381251910553968
95,0.08794062305474278,0.18092889799925643,0.037049879573485205
96,0.08612813232606775,0.17838119728728935,0.03600594716375246
