month,year,new_accounts,contributing,reduced,lapsed_holding,dormant,closed,holding,live_accounts,tier_none,tier_silver,tier_gold,tier_platinum,tier_sovereign,inflow_sip,inflow_spot,collection_events,spot_events,grams_bought,grams_withdrawn,grams_redeemed,grams_closing,aum_usd,float_grams,float_usd,fee_applied,pricegap_rate,bar_grams,fab_premium,gross_entry_fee,stream1_net,stream1_sip,stream1_spot,cor_premium,cor_pricegap,cor_float,cor_rail,cost_of_revenue,gross_profit,stream2,stream2_gross,stream2_processor_fees,stream3,stream4,stream5,stream5_peak_drawn,stream5_avg_drawn,stream6,partner_aum,revenue,cost_vault,cost_screening,cost_rewards,cost_redemption,cost_card_fixed,cost_card_variable,cost_acquisition,cost_opex,cost_oneoff,cost_family,cost_vat,operating_cost,total_cost,ebitda,tax,net_profit,gold_px,margin_call_usd,grams_liquidated,active_cards,card_spend,card_spend_S1,card_spend_S2,card_spend_S3,card_spend_S4,card_spend_S5,card_spend_S6,live_S1,live_S2,live_S3,live_S4,live_S5,live_S6
27,3,307.27441571471184,2460.9381501897956,20.348964177904758,937.2102730543023,217.4121994666704,0.0,3635.909586888673,2481.2871143677003,1375.718741063783,621.5715302441918,483.9968430597276,0.0,0.0,110054.12612310787,54984.87999256695,2481.287114367704,86.62367425860211,1123.0054845110708,121.89826318602202,81.26550879068134,9746.186399270471,1378695.528040801,359.3292005351521,52355.629968933696,0.037437515058762215,0.0017856889729860233,100,0.03,6178.650276738726,127.11603795451128,-223.74794072787904,350.8639786823903,4765.8106751680825,294.70833333333337,349.0375331262246,641.9776971565765,6051.5342387842165,12640.730830283806,3404.654932240774,7861.172518911381,918.9899531604857,1238.5763161233801,2810.5371239678393,19.84641999730597,8258.674211354488,3468.6431687688846,5040.0,10080000.0,18692.265069068024,750.0,677.5349566788772,146.20461642312512,0.34131513692086163,23000.0,2119.2075581359395,31625.888074834053,114838.76135545596,0.0,47.640712595859895,172.4293847107756,173378.00797397151,179429.54221275574,-160737.2771436877,0.0,-160737.2771436877,141.46,0.0,0.0,343.1530936587987,436731.8066061879,195230.09788458157,151417.3143234629,61340.51171782694,14734.235032668637,14009.647647647842,0.0,664.4002450395429,797.8824560424126,537.7699944229587,190.8747817900357,254.20938869600582,36.150248376748934
28,3,390.2075918690501,2731.560793961958,22.493183027039542,1015.942570486864,256.1206312818642,0.0,4026.1171787577255,2754.0539769889974,1535.257036622593,654.5620080242095,564.2349323421959,0.0,0.0,121583.69952916092,60844.55775618944,2754.0539769889997,96.26843267169096,1241.365463018576,134.41388856318537,89.60925904212357,10763.528714683735,1522608.771979161,386.4972419274257,56314.11683834525,0.037410316736554323,0.0016154752433574855,100,0.03,6824.698886742581,173.87575344687247,-222.92813162662355,396.803885073496,5268.106751958233,294.70833333333337,375.42744558896834,712.5806024151726,6650.823133295707,14933.557042545835,4192.777466688448,9680.90677469901,1131.7212593960073,1373.7337545163405,3610.0948269629475,23.07524093122367,9602.280775341711,4032.9579256435186,5560.0,11120000.0,21584.380175841543,750.0,842.6675603204745,806.7422312249175,0.37635888797691897,11000.0,2514.687638445061,34611.39279471728,116267.09176925365,0.0,52.87783635818877,187.1408460912445,167032.97703529877,173683.80016859446,-152099.41999275293,0.0,-152099.41999275293,141.46,0.0,0.0,401.4581089666002,537828.154149945,235441.12742450266,184126.55960356366,75650.60180418157,21849.629887674462,20760.23543002261,0.0,716.535723102296,870.5533803072544,595.2463038403297,219.9259262235013,302.31620635397707,49.47643716164032
29,3,293.6391913192491,2891.0247299578778,24.866638415540873,1105.6141379815042,298.2508637220589,0.0,4319.7563700769815,2915.8913683734186,1595.888644528948,699.6610056990071,620.3417181454573,0.0,0.0,128350.2916460276,65223.486983599476,2915.891368373413,103.4979125454953,1317.305759577419,149.61138013776647,99.7409200918443,11831.48217403154,1673681.4683385019,402.4418955794986,58637.313465136154,0.037338248656262785,0.0015224599913256397,100,0.03,7227.705879805383,196.852620646766,-229.65884076042187,426.5114614071879,5590.38218249465,294.70833333333337,390.9154231009077,754.8473202297271,7030.853259158618,15787.514700590611,4178.286347248544,9647.447527821894,1127.8097930534975,1451.6570262263574,3854.727352756706,25.99135371223916,10815.760356306087,4542.619349648557,6080.0,12160000.0,22818.36795974923,750.0,672.8251950429203,803.9539606518247,0.4189118643857461,11000.0,2706.031642579526,31262.760106243935,117147.34200186907,0.0,55.985114272769515,195.2291720631652,164594.5461045876,171625.39936374623,-148807.03140399698,0.0,-148807.03140399698,141.46,0.0,0.0,444.5228727030752,535969.3071012164,231702.37769194762,182152.21559996973,75490.87224899707,23914.23571841988,22709.605841882105,0.0,745.8297359968142,912.5842014569029,629.4770582142295,237.77158700680997,332.25085374528106,57.977931953376505
30,3,277.77930950388793,3029.974312774031,27.37018871117181,1196.842321069076,343.3488570265847,0.0,4597.535679580864,3057.344501485203,1669.4921925214135,716.2659306474112,671.5863783163795,0.0,0.0,134242.26511519856,69372.86942185805,3057.344501485202,110.35827933682523,1385.686079593176,165.87789658279468,110.5852643885298,12940.70509265339,1830592.1424067486,416.32561646448596,60660.224356218176,0.03730558504443352,0.0014473793119720102,100,0.03,7595.981717805938,224.37160898143162,-232.07922690859448,456.4508358900261,5880.57458457752,294.70833333333326,404.4014957081212,791.9256952055067,7371.61010882448,18676.89797767737,4304.04279085331,9937.812665616098,1161.7541752355446,1520.7470041371666,5998.819607888128,28.916965817310125,12033.192883071919,5053.941010890206,6600.0,13200000.0,26048.50808650185,750.0,651.8177929696185,828.1510554680084,0.46445811043182517,23000.0,2908.6860741856644,30741.120077896412,117927.87309428553,0.0,58.701014428515926,202.37640231517526,177069.18996965938,184440.80007848385,-158392.291991982,0.0,-158392.291991982,141.46,0.0,0.0,484.8373587129381,552100.7036453389,236288.24626260222,186562.8839449287,77867.84623777213,26360.84479855681,25020.882401478957,0.0,771.1364712699966,949.1544120717932,659.5361117705999,253.50200358593108,358.588103082849,65.42739970403247
31,3,264.17337550360634,3152.2543148332647,29.981688222505873,1288.4314537410617,391.0415982876392,0.0,4861.709055084471,3182.2360030557707,1616.4795357825362,846.9982504121775,718.7582168610567,0.0,0.0,139415.33970588906,73325.63604618906,3182.2360030557697,116.90714409171238,1448.0576866533083,183.0513111595873,122.03420743972487,14083.67726070739,1992276.9852996676,428.51533933241205,62436.3132990219,0.037128415765593045,0.0013852918192721719,100,0.03,7898.735398101105,217.73197870142633,-255.8333925736937,473.56537127512,6145.267210619311,294.7083333333333,416.242088660146,824.7857867868705,7681.003419399661,23127.320745505225,6844.021612210736,11348.116191265688,1326.6220455005596,1575.351751809249,7338.364046316648,31.851356467149785,13254.278418355369,5566.796935709254,7120.0,14240000.0,30808.324164904887,750.0,634.572016334206,945.6763492721408,0.5125436712468445,11000.0,3183.0555604138162,30313.340109444696,118627.00497801979,0.0,61.0989312586708,207.79118733903516,165723.05167575358,173404.05509515325,-142595.73093024836,0.0,-142595.73093024836,141.46,0.0,0.0,522.8841301869824,630450.8995147605,267516.0052955182,212095.91755469464,89089.7234305533,31690.97620396111,30058.277030033245,0.0,793.0899519832357,981.4124437460952,686.4103806974326,267.47116250460186,381.8728872812161,71.97917684318868
32,3,283.0477320372689,3291.5332302822226,32.682034915586456,1378.9652357917996,441.5762861321276,0.0,5144.756787121736,3324.215265197809,1603.8609140552296,950.8655536803221,769.4887974622595,0.0,0.0,145309.82353210505,77593.41767264628,3324.2152651978126,123.98432985976856,1517.4249346367174,200.64116055872606,133.76077370581737,15266.700261079566,2159627.4189323154,442.40497556931297,64460.08607935607,0.037003992882564805,0.0013221357022019447,100,0.03,8248.309951041243,222.16987413652333,-273.8467490095243,496.0166231460476,6439.647937611302,294.70833333333337,429.73390719570716,862.0498987643953,8026.140076904738,25369.77215711643,7786.438442517352,12910.743590314658,1509.2969425092017,1640.1231735132412,7806.1105014999885,34.930165449341885,14535.460633906987,6104.893466240935,7880.0,15760000.0,33395.91223402117,750.0,677.9810078825994,1075.8952991928882,0.561795249564433,11000.0,3480.4662195021842,31045.674721699063,119412.67516159535,0.0,63.82493309179797,214.46049956789517,167721.53963778133,175747.67971468606,-142351.7674806649,0.0,-142351.7674806649,141.46,0.0,0.0,563.5751656376955,717263.5327952588,301841.8670923198,240357.01433507618,101608.75743976179,37715.793124837306,35740.10080326372,0.0,818.6216617304908,1018.6634985598089,717.2472263121687,283.09340712443526,407.55998620327256,79.02948526763657
33,3,352.3676468889523,3496.7058371567714,35.48206318091119,1468.8122495943603,496.12428407865025,0.0,5497.124434010692,3532.1879003376825,1659.9045131777682,1036.7692763793993,835.5141107805097,0.0,0.0,154007.87734547068,82976.43390054659,3532.1879003376794,132.9099139846939,1613.4004910249496,218.15163360666486,145.43442240444324,16516.51469609341,2336426.168909374,462.9008844560787,67446.4178886116,0.03693357479914186,0.0012435773987898792,100,0.03,8752.677785627895,245.10320897819645,-285.74349555117385,530.8467045293703,6846.949003811682,294.70833333333326,449.6427859240773,916.2744535805933,8507.574576649686,25690.133028332042,8937.554408429944,14819.416366492167,1732.4253754444155,1739.417680289939,6089.65566016681,38.40207046714084,15980.221575107504,6711.693061545151,8640.0,17280000.0,34197.707604981726,750.0,816.7938797648826,1234.9513638743474,0.6108245740986616,23000.0,3849.4537767043958,33616.57447635775,120530.67199728334,0.0,67.81800768648341,225.18899405523254,184092.06332030054,192599.63789695024,-158401.9302919685,0.0,-158401.9302919685,141.46,0.0,0.0,614.5472742315096,823300.9092495649,343302.0080453316,274798.93811592064,117025.52392123516,45299.431137135834,42875.00802994164,0.0,857.6850712150475,1074.513520920394,762.6727917624421,305.323607611037,443.4604772641135,88.53243156464447
34,3,440.8290484565113,3781.6025419140474,38.43712453371277,1561.756197119145,556.1576189003022,0.0,5937.953482467208,3820.0396664477603,1748.1458089931457,1150.7939485966074,921.0999088580061,0.0,0.0,166085.32290073656,89782.15552964597,3820.039666447757,144.20021785401735,1742.0802064996046,235.85728984274766,157.23819322849843,17865.49941952177,2527253.5478855497,491.35992012049707,71593.00752925289,0.03686600765683065,0.0011518006709614673,100,0.03,9432.812418948433,276.71741733494025,-299.5636375315429,576.2810548664831,7393.039980343023,294.70833333333337,477.286716861686,991.0599710754436,9156.095001613485,30767.857294585014,10858.458659183354,18004.48004176664,2104.7669708886274,1877.7281545687986,8312.559187964645,42.393875533268506,17641.32809007886,7409.3577978331205,9400.0,18800000.0,39923.9522961985,750.0,993.6723441185623,1500.3733368138871,0.6604004115596935,11000.0,4371.35870459091,36937.553346964516,122053.32597097928,0.0,73.34476159579698,240.4407221764163,177920.72958765095,187076.82458926443,-147152.87229306594,0.0,-147152.87229306594,141.46,0.0,0.0,678.7535205036954,1000248.891209258,412913.51648650726,332584.3737570489,142830.77663007958,57542.78765684793,54377.43667877431,0.0,912.8945557138036,1152.8627126747115,825.990138416827,335.5855997919968,491.7207880332263,100.98587181719223
35,3,408.71600870455035,4019.5174525083803,41.61685908580593,1664.7040311965022,620.8311483810634,0.0,6346.669491171751,4061.1343115941863,1853.1831803269172,1210.333328400201,997.6178028670674,0.0,0.0,176155.10246477983,96083.80083553493,4061.134311594187,154.67627717085912,1853.5903494752597,255.85875118461954,170.57250078974639,19292.65851702266,2729139.4738180256,515.0881343719775,75050.29851290774,0.03684268611852338,0.0010825357058106859,100,0.03,10030.012463544535,314.749434497436,-306.2382007054015,620.9876352028375,7866.266725103107,294.7083333333333,500.3353234193849,1053.9526471912616,9715.263029047086,33866.184241227485,12344.556959546178,20468.589178136288,2392.827248711948,1994.9746230297346,9005.512794340246,46.39042981387058,19304.410891710948,8107.852574518598,10160.0,20320000.0,43581.44727027457,750.0,946.5247008385707,1705.715764844691,0.7164045033169348,11000.0,4818.6520677213075,35865.56495767521,123349.49785280286,0.0,77.97377878260838,253.2827250638935,178767.92825223244,188483.19128127952,-144901.74401100495,0.0,-144901.74401100495,141.46,0.0,0.0,738.0984030154506,1137143.843229794,465642.6845983031,377036.1221114782,163057.89517723772,67606.74379053243,63800.39755224257,0.0,958.4795155327455,1218.1718784223235,879.4224381890048,361.17110557255523,532.4400614034499,111.44931247410739
36,3,307.6813082978771,4146.099203214996,44.97949895751376,1775.2159466662954,688.0561506308283,0.0,6654.350799469634,4191.07870217251,1859.6979943787835,1282.4215216056643,1048.9591861880576,0.0,0.0,181490.77256765816,100768.91953024988,4191.078702172506,162.49452071722845,1921.9562948268767,278.62642668405476,185.75095112270319,20750.237434042774,2935328.587419691,527.6609938443332,76882.21191489596,0.03677377578977028,0.001044103503206215,100,0.03,10379.754631698064,327.70678922334594,-320.21207577829205,647.918865001638,8156.3981239863,294.70833333333337,512.5480794326397,1088.3933057224338,10052.047842474705,34327.10391712663,13080.830704908461,21689.409404075148,2535.5440660256445,2054.957180146308,7893.571929846286,50.03731300221426,20821.98535317476,8745.233848333399,10920.0,21840000.0,44379.15175960134,750.0,768.8409443351616,1807.4507836729292,0.7801539947153534,23000.0,5106.053796039737,32219.790685338354,124094.24225063306,0.0,80.46871108171212,259.4926640869153,188087.1199891826,198139.1678316573,-153760.01607205597,0.0,-153760.01607205597,141.46,0.0,0.0,782.1212446139782,1204967.189115286,490704.54848208016,398817.3682843527,173326.6555393316,73153.24387498574,68965.372934536,0.0,981.4896533634708,1252.486707691428,908.6640771744773,375.52599178500543,555.4479661530718,117.46430600505232
37,4,487.17673068697115,4451.982774057293,48.42359104326941,1876.7134654584597,764.4076995975778,0.0,7141.527530156599,4500.406365100562,2056.5659476179017,1260.443205292558,1171.0740934742612,12.323118715837893,0.0,194136.06670331876,108246.83174157739,4500.406365100561,175.10874702549674,2058.9972626739354,299.5900534016385,199.726702267759,22309.917941047315,3155960.9919405533,557.4580958181789,81223.76290147277,0.03676512701020743,0.0009746197117924597,100,0.03,11117.14566704126,374.0942196642766,-328.3239183321972,702.4181379964738,8737.972583335646,294.7083333333333,541.4917526764851,1168.8787780315145,10743.05144737698,36803.23313920674,14308.719374597973,23699.587142916815,2754.9833683021297,2205.7782049738175,8177.911699247402,56.72964072327297,23606.858109638786,9914.880406048289,11680.0,23360000.0,47546.28458658372,750.0,1115.5227776755946,2031.035880209901,0.8388521495245879,11000.0,5746.6681486303305,46756.78831281699,181979.70904659538,0.0,86.40780220993074,275.60689040122446,249742.57771068887,260485.62915806586,-212939.34457148213,0.0,-212939.34457148213,141.46,0.0,0.0,887.9105347517317,1313854.163745785,516401.2873704578,425575.06304905773,188366.12063290013,85816.34993690276,87966.24852063086,9729.094235836003,1035.719173754131,1335.456037793178,981.7736059143056,409.6980209359448,608.0897501658764,129.6697765371258
38,4,441.1001533873231,4696.387611133761,52.103522695503194,1985.8836920428375,848.2528576718307,0.0,7582.627683543932,4748.491133829264,2182.9806410084198,1265.2559166059377,1276.2384940574489,24.016082157452733,0.0,204221.63708221607,114948.03458768399,4748.491133829258,186.43461974541043,2173.396655164071,323.1637319587879,215.44248797252527,23944.708376280083,3387218.4469085806,581.2235192097085,84686.47539822753,0.03672335397365992,0.000923359452642901,100,0.03,11720.980830390556,404.50383082339283,-342.2238059326867,746.7276367560795,9223.460725185285,294.70833333333337,564.5765026548502,1233.731438393667,11316.476999567136,37080.214001256965,13761.587156375643,22774.562184204537,2636.097616251621,2324.4331811211027,8033.197383572213,63.1591160312562,26282.35031053897,11038.587130426366,12493.333333333334,24986666.666666668,48396.6910008241,750.0,1043.5141142728658,1992.6928588287608,0.9048584494846061,11000.0,6126.652020531657,44961.38198896739,128865.48641071377,0.0,91.1710297695218,288.08620389296055,195119.88948542642,206436.36648499354,-158039.67548416945,0.0,-158039.67548416945,141.46,0.0,0.0,983.2928139297806,1260536.406080432,482541.79683163745,401959.67677864747,180405.0330671605,86500.61143593884,93151.17214440982,15978.115822637847,1078.3677090122706,1401.4402809330777,1040.7979216044232,437.47912676214384,650.8507103266091,139.55538519073394
