line,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,Y3,Y4,Y5,Y6,Y7
net_new_gram_share,1.0,0.9963570529794366,0.9926442604043909,0.9896484590489603,0.985035251469828,0.9802885543045121,0.9748443317836312,0.9698055509028315,0.9659332193720201,0.9631797540619562,0.9594415806901524,0.9539665635897258,0.9574656603748108,0.9570130522888918,0.9553593979008771,0.9548646085267348,0.9511328870694185,0.9469020552732513,0.9423885708242403,0.9383975225772717,0.9655673861770291,0.9802705048757313,0.9845413045209621,0.991654553998829,0.9875468958505419,0.9916801107335246,0.9940071206822629,0.9956354611809526,0.9866047055489182
aum_usd,2548.9862355855366,7396.56071656107,14564.002348093112,24764.892726167716,37027.77611839898,51176.15681616612,66666.62985212407,83589.9017989676,102437.39201241735,123802.45962699475,147281.7298899668,171960.82097783653,202872.3776062291,238894.61047146833,279752.05485736765,327033.73447072954,378192.3796670358,432695.07137805474,490152.6207303598,550929.6436887908,616537.7751132835,688860.6673290004,766786.5194586075,847650.2450347197,2476827.391573754,5357566.171587306,9588614.723437678,15135084.172339363,21708490.8113782
float_grams,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,205.93567236080284,214.73207701958907,226.7709098384887,237.00390066709127,242.8180706687665,423.6268045557213,657.1959417927176,929.8738197312923,1218.6982403360053,2399.6015556290267
float_usd,28716.379999999997,28716.379999999997,28716.379999999997,28716.379999999997,28716.379999999997,28716.379999999997,28716.379999999997,28716.379999999997,28716.379999999997,28716.379999999997,28716.379999999997,28716.379999999997,28716.379999999997,28716.379999999997,28716.379999999997,28716.379999999997,28716.379999999997,28716.379999999997,28716.379999999997,29568.635115341556,30831.639609418933,32560.1980993389,34029.47036519223,34864.27994095576,60825.141489039124,94361.44199488779,133513.0497972764,174983.00887410025,342672.3886018453
fee_applied,0.05,0.05,0.05,0.05,0.05,0.05,0.04974179824711774,0.04953592469011257,0.04936736055243897,0.04919341800373733,0.049087000147226646,0.04896176484266636,0.04903605059052754,0.04902666019175699,0.04894532492500699,0.048896125467396565,0.04880782915997111,0.04873930263987201,0.048541916965654866,0.04839375154779759,0.048299485232347984,0.04821784846666652,0.04816025288468958,0.048055804004192924,0.03778607891300448,0.03710958247434066,0.03650789980813624,0.030973411479440074,0.030471255161522808
pricegap_rate,0.10983696685296264,0.057229260014240016,0.038343444024093856,0.02673566020008547,0.021976773105781916,0.01881319459766643,0.016941830004868114,0.015302318038080496,0.013598576742552916,0.01190808601916984,0.010725484763276238,0.010049940284105404,0.008102330060171272,0.0069440722614746014,0.006094449980002532,0.005259326931811257,0.0048100895812795965,0.004460883694981479,0.00417728633640207,0.003903709232132718,0.0035909333567416724,0.0032495850443109244,0.002995662314573874,0.00284663692378643,0.0016567010002441836,0.0008574316330837441,0.0005293707996211388,0.00036607358225950327,0.0027488112164206777
bar_grams,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1000.0
fab_premium,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015000000000000001,0.015000000000000005,0.015000000000000001,0.015,0.009499999999999998
gross_entry_fee,134.15717029397567,257.48046826046925,384.3008118260681,551.1521524581449,670.4995585903325,783.2490431207485,865.2738490587344,954.0155791573019,1069.889358637667,1217.4677112268726,1348.7826723930116,1435.7737166520126,1783.6020793354237,2080.704919240597,2366.841171957781,2739.91250777622,2990.3962789663165,3219.9625973178954,3424.6413326013044,3653.4590601685386,3963.944573618891,4372.928101515125,4737.926498427002,4975.150075068571,80660.58272201463,153059.47827992943,243893.67105982368,299222.5470653892,392029.80995925027
stream1_net,-198.78595657314065,-110.34247203125733,-19.1276101187146,100.99145878602172,187.5585003846656,269.71483922716476,328.85237954597,393.0221719506539,476.67710270005256,582.7888755673249,678.0412468731176,741.9933216156788,992.1172900585823,1206.6270619595284,1413.0781964984076,1681.8549746125252,1864.2305966464178,2032.6326721331698,2181.0577896749915,2347.5197815355286,2537.984598129202,2808.9928916445215,3060.3251073394977,3214.477091224966,46697.689370279826,90446.57442978522,144385.5839920721,155877.85044453302,239753.2386015047
stream1_sip,-139.92355408743077,-76.40685603350988,-13.048592451954079,68.14225206042605,124.51176478245529,176.28244676038673,211.49266416146557,249.22670432735273,299.27934235333606,363.54714338623535,418.93168952438907,451.7738355852104,611.4738286796107,744.2329239915492,869.3853522791578,1035.7242097750539,1139.0912123053486,1231.1157467996134,1308.8891788124993,1397.949367000395,1505.7181149993357,1666.328594152641,1808.6554678765992,1881.863276302975,26998.17769179132,50361.6574059802,77675.18587099154,81135.34465336359,120751.39820032023
stream1_spot,-58.862402485709865,-33.93561599774745,-6.079017666760521,32.84920672559568,63.04673560221029,93.43239246677801,117.35971538450444,143.79546762330116,177.3977603467165,219.24173218108956,259.1095573487285,290.21948603046843,380.6434613789715,462.3941379679791,543.6928442192498,646.1307648374714,725.1393843410693,801.5169253335563,872.1686108624921,949.5704145351336,1032.2664831298664,1142.6642974918802,1251.6696394628982,1332.6138149219908,19699.511678488507,40084.91702380502,66710.3981210806,74742.50579116946,119001.84040118447
stream1a_gross_margin_pct,0.03575000000000007,0.035801911995043054,0.03585481928923756,0.035897509458552336,0.03596324766655503,0.03603088810116074,0.03584649092147215,0.035709444647573696,0.03559364586451339,0.035456453256622555,0.035401818072063246,0.035352884687134135,0.03537832070331782,0.03537525171312822,0.03531633959875013,0.03527349403503896,0.035237176825837435,0.03522804199840739,0.03509226861960623,0.034998977357548526,0.03451552055533497,0.03422278891343712,0.03410336968989242,0.03389580704751298,0.023536240688807854,0.022789417909726134,0.02214433592989286,0.01650338836659187,0.021387434568851116
stream1a_net_pct,-0.07408696685296257,-0.021427348019196966,-0.002488624734856298,0.009161849258466864,0.013986474560773118,0.01721769350349431,0.018904660916604036,0.0204071266094932,0.021995069121960475,0.02354836723745271,0.024676333308787005,0.025302944403028733,0.02727599064314655,0.028431179451653618,0.029221889618747592,0.030014167103227705,0.030427087244557838,0.030767158303425916,0.030914982283204162,0.03109526812541581,0.030924587198593298,0.0309732038691262,0.031107707375318552,0.03104917012372655,0.021874998121426546,0.021930436854607504,0.021614315718207374,0.016136979743627954,0.018636679885589556
stream1b_gross_margin_pct,0.03575000000000002,0.03580191199504313,0.03585481928923739,0.03589750945855242,0.03596324766655498,0.0360308881011607,0.03584649092147225,0.03570944464757376,0.03559364586451345,0.03545645325662266,0.03540181807206333,0.035352884687134094,0.035378320703317784,0.03537525171312826,0.035316339598750086,0.03527349403503892,0.03523717682583755,0.03522804199840749,0.03509226861960634,0.03499897735754859,0.03451552055533491,0.034222788913437115,0.034103369689892485,0.03389580704751306,0.0235276045050131,0.022782581769901618,0.0221395552495991,0.016499348875515577,0.02138068294844792
stream1b_net_pct,-0.07408696685296264,-0.021427348019196883,-0.0024886247348564717,0.009161849258466952,0.013986474560773066,0.017217693503494277,0.018904660916604137,0.020407126609493266,0.021995069121960534,0.023548367237452822,0.02467633330878709,0.025302944403028684,0.02727599064314651,0.02843117945165366,0.029221889618747558,0.030014167103227664,0.030427087244557956,0.030767158303426013,0.03091498228320427,0.031095268125415874,0.030924587198593236,0.030973203869126192,0.03110770737531861,0.03104917012372663,0.02187712832794378,0.02192709649425196,0.021610940483926932,0.01613363891519952,0.018633843471464025
cor_premium,38.23479353378306,73.11460695839344,108.72008861144988,155.45236033879036,188.23272487233453,218.82587056025082,241.71313617943107,266.28507387331433,298.5039226042812,339.97050232621444,376.03309218656113,399.0720617029988,496.77645594350633,579.3695239477343,659.0546421260408,763.3491998303562,831.4573489865614,892.6215918513924,948.8752095929816,1011.2309452996722,1131.2516421563544,1269.2268765372664,1382.8930577541742,1465.9646505102744,30426.39335173482,59076.40385014417,95971.58706775139,139808.1966208564,116911.57135774572
cor_pricegap,294.70833333333337,294.70833333333337,294.70833333333337,294.70833333333326,294.7083333333333,294.7083333333333,294.70833333333337,294.7083333333333,294.70833333333337,294.70833333333337,294.70833333333326,294.70833333333337,294.70833333333337,294.7083333333333,294.70833333333337,294.7083333333333,294.70833333333337,294.70833333333337,294.70833333333337,294.7083333333333,294.70833333333337,294.70833333333337,294.7083333333333,294.70833333333337,3536.5000000000005,3536.500000000001,3536.500000000001,3536.500000000001,35364.99999999999
rail_passthrough_usd,12.671692563903337,23.955209286520294,35.26582752753077,50.069063222700585,60.00909898447346,69.10612167812963,77.27003266760238,85.93098644029757,97.37327777371472,112.15680443791176,124.6470274160818,131.9979745422496,169.2161834897861,200.00068894911468,229.3059013813809,268.04442423270274,292.2091845088984,313.5672862159937,332.8926547984108,354.56084189222787,385.1170248245815,426.6525075240458,462.1270049364996,482.7009939432526,10076.369379590737,19059.00816151194,30046.72971071755,42230.15315689579,54611.40208876951
floatcoc_memo,191.44253333333333,191.44253333333333,191.44253333333333,191.44253333333333,191.44253333333333,191.44253333333333,191.44253333333333,191.44253333333333,191.44253333333333,191.44253333333333,191.44253333333333,191.44253333333333,191.44253333333333,191.44253333333333,191.44253333333333,191.44253333333333,191.44253333333333,191.44253333333333,191.44253333333333,197.12423410227703,205.54426406279288,217.06798732892602,226.8631357679482,232.4285329397051,3932.4675388430596,6328.3749156689855,9254.426361311413,12489.394315513402,25959.389790911162
float_interest_expense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cost_of_revenue,332.94312686711646,367.8229402917268,403.4284219447833,450.1606936721236,482.94105820566784,513.5342038935842,536.4214695127645,560.9934072066476,593.2122559376146,634.6788356595478,670.7414255198944,693.7803950363322,791.4847892768397,874.0778572810675,953.7629754593742,1058.0575331636894,1126.1656823198948,1187.3299251847257,1243.583542926315,1305.9392786330054,1425.9599754896876,1563.9352098706,1677.6013910875074,1760.6729838436077,33962.89335173482,62612.90385014416,99508.0870677514,143344.6966208564,152276.5713577457
gross_profit,-172.2787389202624,-60.28600073957455,54.48979682203441,205.43296464718952,312.5951534689704,413.5504737557035,488.4696762207926,569.4401247476283,675.5956969598958,810.7899880050775,930.5654965416502,1008.259576777497,1334.4249996790913,1611.1177930448196,1875.7608685500095,2222.0243437258287,2451.3842894510026,3942.752175487869,4545.728953496125,5060.760921190155,5266.764860444553,6268.879786882653,7029.794762830682,10890.719223629669,260254.97682586525,661755.5880507147,1283644.7334882724,2085598.1455150626,3185554.5517578702
stream2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535.3964311537738,682.4141522595706,838.8367256140908,1009.304876005504,1267.026872412496,1517.4345913751022,1725.1625826503039,59110.454531931915,195019.17054913094,433516.28663868824,795502.783801779,1298580.6328744
stream2_gross,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1236.2027268764134,1575.659057092299,1936.8307057511688,2330.432866873752,2925.499655137141,3503.6781542828844,3983.3113649667434,107622.7677097053,322416.04360194784,713903.672180899,1304279.522389808,2119483.0613912907
stream2_processor_fees,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.51506862825366,184.19832914119388,226.4201625490522,272.4332007750597,341.99793791293155,409.58839348048434,465.6586680814051,12581.36009846025,37120.38084427144,80494.35733155903,143578.47231888276,227447.17132732898
stream3,26.507217652878367,50.056471291683,73.61740694074956,104.44150586116821,125.03665308430577,143.83563452853912,159.6172966748227,176.41795279697388,198.91859425984342,228.00111243775262,252.52424966853297,266.2662551618166,342.3077096205073,404.4907310852901,462.6826720516023,540.1693691132979,587.153692804581,628.5068366133061,663.342543385883,703.3553256569737,761.8443064189635,842.1745833525646,910.5307537287351,947.7374364059443,19623.334195046766,36317.10953125907,56088.33665936276,77301.60899809356,98022.11873236655
stream4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,746.2162355876185,1018.9144681756812,1171.049088383557,957.6310798908825,1350.6854394730672,1541.504310387349,1449.673165025487,48678.58768999689,141797.04330377883,302913.70096111996,532337.7131342068,830753.7332319479
stream5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.002281656304092,224.9110386098761,735.6902367606396,1700.8252370293712,3138.18913645058,5004.828317650795
stream5_peak_drawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2913.8536291890027,13286.63811078853,38164.857442464694,78990.62137128375,136367.73647714604,206629.72796817118
stream5_avg_drawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1223.818524259381,5580.388006531182,16029.240125835171,33176.060975939174,57274.449320401334,86784.4857466319
stream6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3546.6666666666674,85920.0,197440.0,345040.0,521440.00000000006,713440.0
partner_aum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7093333.333333334,21840000.0,43653333.333333336,70453333.33333333,102053333.33333333,134053333.33333333
revenue,160.66438794685405,307.53693955215226,457.9182187668177,655.5936583193131,795.5362116746383,927.0846776492876,1024.891145733557,1130.4335319542758,1268.8079528975104,1445.4688236646252,1601.3069220615446,1702.0399718138292,2125.909788955931,2485.195650325887,2829.5238440093835,3280.081876889518,3577.5499717708976,5130.082100672595,5789.31249642244,6366.700199823161,6692.72483593424,7832.814996753253,8707.39615391819,12651.392207473276,294217.87017760007,724368.4919008589,1383152.820556024,2228942.842135919,3337831.1231156155
cost_vault,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,9000.0,10365.50717187459,18862.128215418525,31257.18037913407,46582.88521466771
cost_screening,300.4910309929744,301.934922757542,303.47356104967554,305.50622887117294,307.07435937349067,308.5968709942263,310.0519666046506,311.59723246810165,313.50507595602085,315.8656173751389,318.0428078359103,319.6744757126538,343.71910641731534,329.5095955377994,334.21350516592463,410.115118249925,344.7062078727046,348.97756180481605,353.0733420628917,357.4906486172659,405.207094914034,501.11518084156387,478.5678705930441,385.8497528043598,9481.418424427542,14984.087730290616,21120.20964483072,27409.11999248589,33463.36014581118
cost_rewards,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6127.1041127716935,30419.243979090275,77923.49081155247,164442.9642452116,306078.97897948604
cost_redemption,0.0,0.0005291348708842188,0.0015946555387690066,0.0032184424664120186,0.005660270120563253,0.008709386993959414,0.012345970023174191,0.01641019137464139,0.020838114108628077,0.025724382252297496,0.03146392717731471,0.038116757188306614,0.04368193517570526,0.051510856644332595,0.060954961942195164,0.07142052677496538,0.08455510576253013,0.09907507673363675,0.11481856546657863,0.13139718298929276,34.7956988120634,58.592487330731004,72.76070903746012,94.01134014020707,2170.344930091355,6061.7163064500355,12681.380795563684,22322.05475680917,32965.06285595741
cost_card_fixed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75000.0,0.0,0.0,23000.0,11000.0,11000.0,23000.0,11000.0,11000.0,23000.0,180000.0,180000.0,180000.0,180000.0,180000.0
cost_card_variable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,361.82264423001675,441.95972604283395,522.1290158158292,605.3472943122842,710.2903473521593,824.8250935046826,937.7388631004051,27631.306224066644,83338.4925302545,186328.6310871005,344471.0145732092,569037.9829572287
cost_acquisition,5254.772,5461.016,5691.524,6091.88,5928.098,5979.659,5970.56,6031.22,6273.860000000001,6577.16,6455.84,6091.88,16821.514434199526,16440.962673105616,16482.05836441397,17597.152195228526,16365.26231004923,16173.774797044776,16071.040583523853,16393.550822203,17426.247688054624,18790.264112281602,18415.57620652277,17008.807344566885,397442.1953131056,572958.1205215624,767076.6888287996,967119.4653039818,1169505.7406979827
